Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
2024-04-02 15:11:34,0.0,0.0,0.0
2024-04-02 15:11:35,0.0,0.0,0.0
2024-04-02 15:11:36,0.0,0.0,0.0
2024-04-02 15:11:37,0.0,0.0,0.0
2024-04-02 15:11:38,47.9,0.0,47.9
2024-04-02 15:11:39,4.0,0.0,4.0
2024-04-02 15:11:40,0.0,0.0,0.0
2024-04-02 15:11:41,0.0,0.0,0.0
2024-04-02 15:11:42,0.0,0.0,0.0
2024-04-02 15:11:43,11.9,0.0,11.9
2024-04-02 15:11:44,4.0,0.0,4.0
2024-04-02 15:11:45,0.0,0.0,0.0
2024-04-02 15:11:46,0.0,0.0,0.0
2024-04-02 15:11:47,0.0,0.0,0.0
2024-04-02 15:11:48,16.0,0.0,16.0
2024-04-02 15:11:49,0.0,0.0,0.0
2024-04-02 15:11:50,0.0,0.0,0.0
2024-04-02 15:11:51,0.0,0.0,0.0
2024-04-02 15:11:52,0.0,0.0,0.0
2024-04-02 15:11:53,15.9,0.0,15.9
2024-04-02 15:11:54,4.0,0.0,4.0
2024-04-02 15:11:55,0.0,0.0,0.0
2024-04-02 15:11:56,0.0,0.0,0.0
2024-04-02 15:11:57,0.0,0.0,0.0
2024-04-02 15:11:58,12.0,0.0,12.0
2024-04-02 15:11:59,4.0,0.0,4.0
2024-04-02 15:12:00,0.0,0.0,0.0
2024-04-02 15:12:01,0.0,0.0,0.0
2024-04-02 15:12:02,0.0,0.0,0.0
2024-04-02 15:12:03,11.9,0.0,11.9
2024-04-02 15:12:04,111.4,0.0,111.4
2024-04-02 15:12:05,0.0,0.0,0.0
2024-04-02 15:12:06,0.0,0.0,0.0
2024-04-02 15:12:07,0.0,0.0,0.0
2024-04-02 15:12:08,19.9,0.0,19.9
2024-04-02 15:12:09,171.7,0.0,171.7
2024-04-02 15:12:10,0.0,0.0,0.0
2024-04-02 15:12:11,0.0,0.0,0.0
2024-04-02 15:12:12,0.0,0.0,0.0
2024-04-02 15:12:13,24.0,0.0,24.0
2024-04-02 15:12:14,0.0,0.0,0.0
2024-04-02 15:12:15,0.0,0.0,0.0
2024-04-02 15:12:16,0.0,0.0,0.0
2024-04-02 15:12:17,0.0,0.0,0.0
2024-04-02 15:12:18,0.0,0.0,0.0
2024-04-02 15:12:19,16.0,0.0,16.0
2024-04-02 15:12:20,0.0,0.0,0.0
2024-04-02 15:12:21,0.0,0.0,0.0
2024-04-02 15:12:22,0.0,0.0,0.0
2024-04-02 15:12:23,0.0,0.0,0.0
2024-04-02 15:12:24,16.0,0.0,16.0
2024-04-02 15:12:25,0.0,0.0,0.0
2024-04-02 15:12:26,0.0,0.0,0.0
2024-04-02 15:12:27,0.0,0.0,0.0
2024-04-02 15:12:28,0.0,0.0,0.0
2024-04-02 15:12:29,15.9,0.0,15.9
2024-04-02 15:12:30,0.0,0.0,0.0
2024-04-02 15:12:31,0.0,0.0,0.0
2024-04-02 15:12:32,0.0,0.0,0.0
2024-04-02 15:12:33,0.0,0.0,0.0
2024-04-02 15:12:34,15.9,0.0,15.9
2024-04-02 15:12:35,24.0,0.0,24.0
2024-04-02 15:12:36,0.0,0.0,0.0
2024-04-02 15:12:37,0.0,0.0,0.0
2024-04-02 15:12:38,0.0,0.0,0.0
2024-04-02 15:12:39,27.9,0.0,27.9
2024-04-02 15:12:40,163.4,0.0,163.4
2024-04-02 15:12:41,0.0,0.0,0.0
2024-04-02 15:12:42,0.0,0.0,0.0
2024-04-02 15:12:43,0.0,0.0,0.0
